ababa	a<r>bab<vr>a<va>
eziphendula	e<r>zi<p10>phendul<vr>a<va>
eziphethe	e<r>zi<p10>pheth<vr>e<vps>
eziphikisa	e<r>zi<i10>phik<vr>is<xc>a<va>
eziphuzile	e<r>zi<i10>phuz<vr>ile<vpl>
eziqwini	e<locpf>zi<n10>qw<nr>ini<locsf>
ezisazinyoni	e<r>zi<i10>sa<asp>zi<n10>nyoni<nr>
ezisencane	e<r>zi<p10>se<asp>ncane<ar>
ezisola	e<r>zi<i10>sol<vr>a<va>
ezitebhisini	e<locpf>zi<n10>tebhis<nr>ini<locsf>
ezithele	e<r>zi<i10>thel<vr>e<vpl>
ezithize	e<r>zi<i10>thize<ar>, e<r>zi<n10>thize<ar>, e<r>zi<p10>thize<ar>
ezithombeni	e<locpf>zi<n10>thomb<nr>eni<locsf>
ezitolo	e<locpf>zi<n10>tolo<nr>
ezitshela	e<r>zi<p10>tshel<vr>a<va>
ezivulela	e<r>zi<i10>vul<vr>el<xa>a<va>
eziwuchungechunge	e<r>zi<i10>w<p>u<iv_n11>chungechunge<nr>
ezixoshile	e<r>zi<i10>xosh<vr>ile<vpl>
eziya	e<p6>zi<o10>y<vr>a<va>, e<r>zi<p10>y<vr>a<va>
eziyikitazayo	e<r>zi<i10>yi<o9>kitaz<vr>a<va>yo<rsf>
eziyimihelane	e<r>zi<i10>y<p>i<iv>mi<n4>helane<nr>
eziyizinhlobonhlobo	e<iv>zi<n10>yizinhlobonhlobo<nr>
ezobakhweza	e<r>zo<fut>ba<o2>khwez<vr>a<va>
ezobukhosi	e<r>z<z10>o<iv>bu<n14>khosi<nr>
ezogwinya	e<p1>zo<fut>gwiny<vr>a<va>
ezohamba	e<p1>zo<fut>hamb<vr>a<va>
ezohlala	e<p1>zo<fut>hlal<vr>a<va>
ezolala	e<p1>zo<fut>lal<vr>a<va>
ezolimala	e<p1>zo<fut>limal<vr>a<va>, e<p6>zo<fut>limal<vr>a<va>
ezongenwa	e<p1>zo<fut>ngen<vr>w<xp>a<va>, e<p6>zo<fut>ngen<vr>w<xp>a<va>
ezophatha	e<p1>zo<fut>phath<vr>a<va>
ezoqala	e<p1>zo<fut>qal<vr>a<va>, e<p6>zo<fut>qal<vr>a<va>, e<r>zo<fut>qal<vr>a<va>
ezoyenza	e<p1>zo<fut>y<o9>enz<p1_vr>a<va>
ezula	e<p1>zul<vr>a<va>, e<p6>zul<vr>a<va>
ezwa	e<p1>zw<vr>a<va>, e<p6>zw<vr>a<va>
ezwakale	e<p1>zw<vr>akal<xn>e<vps>
ezwe	e<p1>zw<vr>e<vps>
ezwile	e<r>zw<vr>ile<vpl>
fika	fik<vr>a<imp>
fiyo	fiyo<adv>
fumuka	fumuka<nr>
funa	fun<vr>a<imp>
futhalala	futhalal<vr>a<imp>
futhi	futhi<adv>
gaga	gaga<adv>
gama	gama<nr>
gazi	gazi<nr>
gebe	gebe<nr>
gege	gege<adv>
gegele	gegele<adv>
gogo	gogo<nr>
gombela	gomb<vr>el<xa>a<imp>
gozololo	gozololo<adv>
gqamu	gqamu<adv>
gula	gul<vr>a<imp>
gwababa	gwababa<nr>
habe	habe<intj>
hamba	hamb<vr>a<imp>
hawu	hawu<intj>
hayi	hayi<intj>
he	he<intj>
hebehamba	hebehamba<nr>
heqe	heqe<adv>
hha	hha<intj>
hhashi	hhashi<nr>
hhawu	hhawu<intj>
hhayi	hhayi<adv>
hhe	hhe<intj>
hhiya	hhiya<intj>
hho	hho<intj>
hiya	hiya<intj>
hlala	hlal<vr>a<imp>
hleze	hleze<adv>
hlobo	hlobo<nr>
ho	ho<intj>
horhagidgadi	horhagidgadi<nr>
hwalahwala	hwalahwala<adv>
i	i<iv_n9>
iambulense	i<iv_n5>ambulense<nr>
ibabonile	i<i4>ba<o2>bon<vr>ile<vpl>
ibabuze	i<i4>ba<o2>buz<vr>e<vps>
ibalisa	i<i4>bal<vr>is<xc>a<va>
ibambane	i<i4>bamb<vr>an<xr>e<vps>
ibangana	i<i4>bang<vr>an<xr>a<va>, i<i9>bang<vr>an<xr>a<va>
ibathole	i<i4>ba<o2>thol<vr>e<vps>
ibatshela	i<i4>ba<o2>tshel<vr>a<va>, i<i9>ba<o2>tshel<vr>a<va>, i<p4>ba<o2>tshel<vr>a<va>, i<p9>ba<o2>tshel<vr>a<va>
ibe	i<i4>b<vr>e<vps>, i<i9>b<vr>e<vps>, i<p4>b<vr>e<vps>, i<p9>b<vr>e<vps>, i<s4>b<vr>e<vs>, i<s9>b<vr>e<vs>
ibehlele	i<i9>be<past>hlel<vr>e<vps>
ibemhlophe	i<i9>be<past>mhlophe<ar>
ibhale	i<i4>bhal<vr>e<vps>, i<i9>bhal<vr>e<vps>, i<p4>bhal<vr>e<vps>, i<p9>bhal<vr>e<vps>
ibhalwe	i<i4>bhal<vr>w<xp>e<vps>, i<i9>bhal<vr>w<xp>e<vps>, i<p4>bhal<vr>w<xp>e<vps>, i<p9>bhal<vr>w<xp>e<vps>, i<s4>bhal<vr>w<xp>e<vs>, i<s9>bhal<vr>w<xp>e<vs>
ibhasi	i<iv_n5>bhasi<nr>
ibheda	i<i9>bhed<vr>a<va>
ibheke	i<i4>bhek<vr>e<vps>, i<i9>bhek<vr>e<vps>, i<p4>bhek<vr>e<vps>, i<p9>bhek<vr>e<vps>
ibhekene	i<i9>bhek<vr>en<xr>e<vs>
ibhema	i<i4>bhem<vr>a<va>, i<i9>bhem<vr>a<va>, i<p4>bhem<vr>a<va>, i<p9>bhem<vr>a<va>
ibheshu	i<iv_n5>bheshu<nr>
ibhodlela	i<iv_n5>bhodlela<nr>
ibhola	i<iv_n5>bhola<nr>
ibhubesi	i<iv_n5>bhubesi<nr>
ibhuku	i<iv_n5>bhuku<nr>
ibhungane	i<iv_n5>bhungane<nr>
ibihlekiswa	i<i9>b<past>i<p9>hlek<vr>is<xc>w<xp>a<va>
ibingazange	i<i9>b<past>i<p9>nga<neg>zange<mr>
ibiyini	i<i9>b<past>i<p9>yi<p>ni<int>
ibiza	i<i9>biz<vr>a<va>
ibizokufica	i<i9>b<past>i<p9>zo<fut>ku<o2s>fic<vr>a<va>
iblekani	i<iv_n5>blekani<nr>, i<iv_n9>blekani<nr>
ibona	i<i4>bon<vr>a<va>, i<i9>bon<vr>a<va>, i<p4>bon<vr>a<va>, i<p9>bon<vr>a<va>
iboshwa	i<i4>bosh<vr>w<xp>a<va>, i<i9>bosh<vr>w<xp>a<va>
ibuhlungu	i<i9>buhlungu<ar>
ibulale	i<i4>bulal<vr>e<vps>, i<i9>bulal<vr>e<vps>
ibulawe	i<i9>bulaw<vr>e<vps>
ibuthathephi	i<i9>bu<o14>thath<vr>e<vps>phi<adv>
ibuye	i<i9>buye<mr>
ibuyela	i<i9>buy<vr>el<xa>a<va>
ibuza	i<i4>buz<vr>a<va>, i<i9>buz<vr>a<va>
ibuze	i<p9>buz<vr>e<vps>
ibuzwa	i<i4>buz<vr>w<xp>a<va>
icabanga	i<i4>cabang<vr>a<va>, i<i9>cabang<vr>a<va>, i<p4>cabang<vr>a<va>, i<p9>cabang<vr>a<va>
icala	i<iv_n5>cala<nr>
icangcathwa	i<i9>cangcath<vr>w<xp>a<va>
icebo	i<iv_n5>ceb<vr>o<in>
iceliwe	i<i9>cel<vr>iw<xp>e<vps>
ichaza	i<i4>chaz<vr>a<va>
ichithwa	i<i4>chith<vr>w<xp>a<va>, i<i9>chith<vr>w<xp>a<va>, i<p4>chith<vr>w<xp>a<va>, i<p9>chith<vr>w<xp>a<va>
icime	i<i9>cim<vr>e<vps>
iconsa	i<i9>cons<vr>a<va>
iculo	i<iv_n5>cul<vr>o<in>
idadamu	i<iv_n5>dadamu<nr>
idala	i<i9>dal<vr>a<va>
idale	i<i4>dal<vr>e<vps>, i<i9>dal<vr>e<vps>, i<p4>dal<vr>e<vps>, i<p9>dal<vr>e<vps>
ididekile	i<i4>did<vr>ek<xn>ile<vpl>, i<i9>did<vr>ek<xn>ile<vpl>, i<p4>did<vr>ek<xn>ile<vpl>, i<p9>did<vr>ek<xn>ile<vpl>
idla	i<i4>dl<vr>a<va>, i<i9>dl<vr>a<va>, i<p4>dl<vr>a<va>, i<p9>dl<vr>a<va>
idlalwa	i<i4>dlal<vr>w<xp>a<va>
idlandaba	i<iv_n5>dl<vr>a<va>n<n9>daba<nr>
idlangala	i<p4>dlangal<vr>a<va>
idolobha	idolobha<nr>
iduku	i<iv_n5>duku<nr>
idwala	i<iv_n5>dwala<nr>
ifa	i<i4>f<vr>a<va>, i<i9>f<vr>a<va>, i<iv_n5>f<vr>a<va>, i<p4>f<vr>a<va>, i<p9>f<vr>a<va>
ifake	i<i4>fak<vr>e<vps>, i<i9>fak<vr>e<vps>, i<p4>fak<vr>e<vps>, i<p9>fak<vr>e<vps>, i<s4>fak<vr>e<vs>, i<s9>fak<vr>e<vs>
ifenisha	i<iv_n5>fenisha<nr>
ifezeke	i<i4>fez<vr>ek<xn>e<vps>, i<p4>fez<vr>ek<xn>e<vps>, i<p9>fez<vr>ek<xn>e<vps>, i<s9>fez<vr>ek<xn>e<vs>
ifika	i<i4>fik<vr>a<va>, i<i9>fik<vr>a<va>
ifike	i<i9>fik<vr>e<vps>
ifile	i<i4>f<vr>ile<vpl>, i<i9>f<vr>ile<vpl>, i<p4>f<vr>ile<vpl>, i<p9>f<vr>ile<vpl>
ifiliji	i<iv_n9>filiji<nr>
ifinyelela	i<i4>finyel<vr>el<xa>a<va>
ifinyelele	i<i9>finyel<vr>el<xa>e<vps>
ifu	i<iv_n5>fu<nr>
ifundelwe	i<i9>fund<vr>el<xa>w<xp>e<vps>
ifundwa	i<i4>fund<vr>w<xp>a<va>, i<i9>fund<vr>w<xp>a<va>, i<p4>fund<vr>w<xp>a<va>, i<p9>fund<vr>w<xp>a<va>
igabha	i<i9>gabh<vr>a<va>
igama	i<iv_n5>gama<nr>
igane	i<i4>gan<vr>e<vps>, i<i9>gan<vr>e<vps>, i<p4>gan<vr>e<vps>, i<p9>gan<vr>e<vps>, i<s4>gan<vr>e<vs>, i<s9>gan<vr>e<vs>
igazi	i<iv_n5>gazi<nr>
igceke	i<i9>gcek<vr>e<vps>, i<p4>gcek<vr>e<vps>, i<p9>gcek<vr>e<vps>, i<s4>gcek<vr>e<vs>
igcinekile	i<i4>gcin<vr>ek<xn>ile<vpl>
igcinile	i<i4>gcin<vr>ile<vpl>, i<i9>gcin<vr>ile<vpl>, i<p4>gcin<vr>ile<vpl>, i<p9>gcin<vr>ile<vpl>
igcwele	i<i4>gcwel<vr>e<vps>, i<i9>gcwel<vr>e<vps>
igilo	i<iv_n5>gilo<nr>
igolokodo	i<iv_n5>golokodo<nr>
igundane	i<iv_n5>gundane<nr>
iguquka	i<i4>guquk<vr>a<va>, i<i9>guquk<vr>a<va>, i<p4>guquk<vr>a<va>, i<p9>guquk<vr>a<va>
igwababa	i<iv_n5>gwababa<nr>
igwala	i<iv_n5>gwala<nr>
igxolo	i<iv_n5>gxolo<nr>
igxumele	i<i9>gxum<vr>el<xa>e<vps>
ihamba	i<i4>hamb<vr>a<va>, i<i9>hamb<vr>a<va>
ihambe	i<i9>hamb<vr>e<vps>
ihambise	i<i4>hamb<vr>is<xc>e<vps>
ihhashi	i<iv_n5>hhashi<nr>
ihlaba	i<i4>hlab<vr>a<va>, i<i9>hlab<vr>a<va>, i<iv_n5>hlaba<nr>, i<p9>hlab<vr>a<va>
ihlakaniphe	i<i4>hlakaniph<vr>e<vps>, i<i9>hlakaniph<vr>e<vps>, i<p4>hlakaniph<vr>e<vps>, i<p9>hlakaniph<vr>e<vps>, i<s4>hlakaniph<vr>e<vs>, i<s9>hlakaniph<vr>e<vs>
ihlakaniphile	i<i4>hlakaniph<vr>ile<vpl>
ihlakaniphise	i<i4>hlakaniph<vr>is<xc>e<vps>, i<i9>hlakaniph<vr>is<xc>e<vps>, i<p4>hlakaniph<vr>is<xc>e<vps>, i<p9>hlakaniph<vr>is<xc>e<vps>, i<s4>hlakaniph<vr>is<xc>e<vs>, i<s9>hlakaniph<vr>is<xc>e<vs>
ihlale	i<i4>hlal<vr>e<vps>, i<i9>hlal<vr>e<vps>, i<p4>hlal<vr>e<vps>, i<p9>hlal<vr>e<vps>
ihlangene	i<i4>hlangen<vr>e<vps>, i<i9>hlangen<vr>e<vps>
ihlanze	i<p4>hlanz<vr>e<vps>
ihlaya	i<iv_n5>hlaya<nr>
ihlazo	i<iv_n5>hlaz<vr>o<in>
ihlezi	i<i9>hlez<vr>i<vpl>
ihlo	i<iv_n5>hlo<nr>
ihlombe	i<iv_n5>hlombe<nr>
ihlonipha	i<i4>hloniph<vr>a<va>
ihlupha	i<i4>hluph<vr>a<va>, i<i9>hluph<vr>a<va>
ihluthule	i<i4>hluthul<vr>e<vps>
ihora	i<iv_n5>hora<nr>
ihotela	i<iv_n5>hotela<nr>
ijazana	i<iv_n5>jaz<nr>ana<dim>
ijazi	i<iv_n5>jazi<nr>
ijezi	i<iv_n5>jezi<nr>
ijubane	i<iv_n5>jubane<nr>
ijulukiswa	i<i9>juluk<vr>is<xc>w<xp>a<va>
ikade	ikade<nr>
ikakhulu	i<der>ka<advpf>khulu<ar>
ikakhulukazi	i<der>ka<advpf>khulu<ar>kazi<aug>
ikamelo	i<iv_n5>kamelo<nr>
ike	i<i9>ke<mr>
ikhala	i<i4>khal<vr>a<va>, i<i9>khal<vr>a<va>, i<iv_n5>khala<nr>
ikhale	i<p4>khal<vr>e<vps>, i<s4>khal<vr>e<vs>, i<s9>khal<vr>e<vs>
ikhanda	i<iv_n5>khanda<nr>
ikhandlela	ikhandlela<nr>
ikhefu	i<iv_n5>khefu<nr>
ikhehla	i<iv_n5>khehla<nr>
ikhishi	ikhishi<nr>
ikhofi	i<iv_n5>khofi<nr>
ikhona	i<i9>kho<adv>na<st>
ikhulu	i<iv_n5>khulu<ar>
ikhuluphele	i<i4>khuluphel<vr>e<vps>, i<p9>khuluphel<vr>e<vps>
ikhuphukela	i<i9>khuphuk<vr>el<xa>a<va>
ikileku	i<iv_n5>kileku<nr>
ikulo	i<i9>ku<locpf>lo<pr5>
ikumfowabo	i<i9>ku<locpf>m<n1>fo<nr>wa<z1>bo<pr2>
ikuphi	i<i9>ku<locpf>phi<adv>
ikuthenga	i<i9>ku<o15>theng<vr>a<va>
ikwakhe	i<iv>kw<n15>akh<vr>e<vps>
ilandelana	i<i4>landel<vr>an<xr>a<va>
ilandelwa	i<i4>landel<vr>w<xp>a<va>
ilanga	i<iv_n5>langa<nr>
ilangabi	i<iv_n5>langabi<nr>
ilaphaya	i<i9>laphaya<adv>
ilele	i<i9>lel<vr>e<vps>
ilema	i<iv_n5>lema<nr>
ilendlu	i<i9>le<d9>n<n9>dlu<nr>
ileyo	i<i9>le<d>y<d9>o<pos2>
iliqhinga	i<i9>li<o5>qhing<vr>a<va>
ilishwe	i<iv>li<n5>shwe<nr>
ilitheza	i<i9>li<o5>thez<vr>a<va>, i<p4>li<o5>thez<vr>a<va>, i<p9>li<o5>thez<vr>a<va>
ilokho	i<i9>lo<d>kh<d15>o<pos2>
ilokhu	i<i9>lokhu<mr>
iloli	i<iv_n5>loli<nr>
ilori	i<iv_n5>lori<nr>
iltanze	iltanze<nr>
iluhlaza	i<i9>luhlaza<ar>
ilula	i<i9>lula<ar>
ilumbo	i<iv_n5>lumb<vr>o<in>
ilungile	i<i4>lung<vr>ile<vpl>, i<i9>lung<vr>ile<vpl>
ilungise	i<i4>lung<vr>is<xc>e<vps>, i<i9>lung<vr>is<xc>e<vps>, i<p4>lung<vr>is<xc>e<vps>, i<p9>lung<vr>is<xc>e<vps>
ima	i<i4>m<vr>a<va>, i<i9>m<vr>a<va>, i<p4>m<vr>a<va>, i<p9>m<vr>a<va>
imali	i<iv_n9>mali<nr>
imbala	i<iv>m<n9>bala<nr>
imbeke	i<i4>m<o1>bek<vr>e<vps>, i<i9>m<o1>bek<vr>e<vps>, i<p4>m<o1>bek<vr>e<vps>, i<p9>m<o1>bek<vr>e<vps>, i<s4>m<o1>bek<vr>e<vs>, i<s9>m<o1>bek<vr>e<vs>
imbiza	i<iv>m<n9>biza<nr>
imbobo	i<iv>m<n9>bobo<nr>
imbokodo	i<iv>m<n9>bokodo<nr>
imbone	i<i4>m<o1>bon<vr>e<vps>, i<i9>m<o1>bon<vr>e<vps>, i<p4>m<o1>bon<vr>e<vps>, i<s4>m<o1>bon<vr>e<vs>, i<s9>m<o1>bon<vr>e<vs>
imbulumakhasana	i<iv>m<n9>bulu<nr>ma<n6>khas<nr>ana<dim>
imbulunga	i<iv>m<n9>bulunga<nr>
imbuyisela	i<i9>m<o1>buy<vr>is<xc>el<xa>a<va>
imbuzi	i<iv>m<n9>buzi<nr>
imdedele	i<i4>m<o1>dedel<vr>e<vps>, i<i9>m<o1>dedel<vr>e<vps>
ime	i<i4>m<vr>e<vps>, i<i9>m<vr>e<vps>, i<p4>m<vr>e<vps>, i<p9>m<vr>e<vps>, i<s4>m<vr>e<vs>, i<s9>m<vr>e<vs>
imenzakalise	i<i9>m<o1>enz<vr>akal<xn>is<xc>e<vps>
imeqa	i<i9>m<o1>eq<vr>a<va>
imeqe	i<i9>m<o1>eq<vr>e<vps>
imfadukwe	i<iv>m<n9>fadukwe<nr>
imfiva	i<iv>m<n9>fiva<nr>
imfucumfucu	i<iv>m<n9>fucumfucu<nr>
imfucuza	i<iv>m<n9>fucuza<nr>
imfudlana	i<iv>m<n9>fudl<nr>ana<dim>
imfuyo	i<iv>m<n9>fuy<vr>o<in>
imhlolela	i<i9>m<o1>hlol<vr>el<xa>a<va>
imibhalo	i<iv>mi<n4>bhal<vr>o<in>
imibuzo	i<iv>mi<n4>buz<vr>o<in>
imicabango	i<iv>mi<n4>cabang<vr>o<in>
imicibisholo	i<iv>mi<n4>cibisholo<nr>
imidati	i<iv>mi<n4>dati<nr>
imifula	i<iv>mi<n4>fula<nr>
imigqa	i<iv>mi<n4>gqa<nr>
imigwaqo	i<iv>mi<n4>gwaqo<nr>
imihla	i<iv>mi<n4>hla<nr>
imihlathi	i<iv>mi<n4>hlathi<nr>
imihlola	i<iv>mi<n4>hlola<nr>
imikhono	i<iv>mi<n4>khono<nr>
imikhonto	i<iv>mi<n4>khonto<nr>
imiklomelo	i<iv>mi<n4>klomel<vr>o<in>
imilomo	i<iv>mi<n4>lomo<nr>
imimango	i<iv>mi<n4>mango<nr>
imina	i<i9>mi<pr1s>na<st>
imindeni	i<iv>mi<n4>ndeni<nr>
iminingi	i<iv>mi<n4>ningi<ar>
imininingwane	i<iv>mi<n4>niningwane<nr>
iminyaka	i<iv>mi<n4>nyaka<nr>
iminyakana	i<iv>mi<n4>nyak<nr>ana<dim>
iminyovu	i<iv>mi<n4>nyovu<nr>
imisebe	i<iv>mi<n4>sebe<nr>
imisebenzi	i<iv>mi<n4>sebenz<vr>i<der>
imithambo	i<iv>mi<n4>thambo<nr>
imithi	i<iv>mi<n4>thi<nr>
imithwalo	i<iv>mi<n4>thwal<vr>o<in>
imizi	i<iv>mi<n4>zi<nr>
imizuzu	i<iv>mi<n4>zuzu<nr>
imkhombisa	i<i4>m<o1>khomb<vr>is<xc>a<va>
imlandisa	i<i4>m<o1>land<vr>is<xc>a<va>, i<i9>m<o1>land<vr>is<xc>a<va>, i<p4>m<o1>land<vr>is<xc>a<va>, i<p9>m<o1>land<vr>is<xc>a<va>
imnandi	i<i4>mnandi<ar>, i<i9>mnandi<ar>
imoto	i<iv_n9>moto<nr>
impahla	i<iv>m<n9>pahla<nr>
impambakwici	i<iv>m<n9>pambakwici<nr>
impela	impela<adv>
impendulo	i<iv>m<n9>pendul<vr>o<in>
impesheni	i<iv>m<n9>pesheni<nr>
imphatha	i<i4>m<o1>phath<vr>a<va>, i<i9>m<o1>phath<vr>a<va>
imphendule	i<i4>m<o1>phendul<vr>e<vps>, i<i9>m<o1>phendul<vr>e<vps>, i<p4>m<o1>phendul<vr>e<vps>, i<p9>m<o1>phendul<vr>e<vps>, i<s4>m<o1>phendul<vr>e<vs>, i<s9>m<o1>phendul<vr>e<vs>
impi	i<iv>m<n9>pi<nr>
impicabadala	i<iv>m<n9>pic<vr>a<r>ba<n2>dala<ar>
impilo	i<iv>m<n9>pil<vr>o<in>
impophoma	i<iv>m<n9>pophoma<nr>
impukane	i<iv>m<n9>pukane<nr>
impumelelo	i<iv>m<n9>pumelel<vr>o<in>
imqhofoza	i<i4>m<o1>qhofoz<vr>a<va>, i<i9>m<o1>qhofoz<vr>a<va>, i<p4>m<o1>qhofoz<vr>a<va>, i<p9>m<o1>qhofoz<vr>a<va>
imqoma	i<i4>m<o1>qom<vr>a<va>, i<i9>m<o1>qom<vr>a<va>, i<p4>m<o1>qom<vr>a<va>, i<p9>m<o1>qom<vr>a<va>
imshiye	i<i9>m<o1>shiy<vr>e<vps>
imthele	i<i4>m<o1>thel<vr>e<vps>
imthukuthelele	i<i9>m<o1>thukuthel<vr>el<xa>e<vps>
imtshele	i<i4>m<o1>tshel<vr>e<vps>
imumethe	i<i4>mumeth<vr>e<vps>
imuphe	i<i9>mu<o1>ph<vr>e<vps>
imuphi	i<i9>mu<n1>phi<ar>
imvelele	i<i4>m<o1>velel<vr>e<vps>
imvelo	i<iv>m<n9>vel<vr>o<in>
imvimbezele	i<p4>m<o1>vimbezel<vr>e<vps>
imvula	i<iv>m<n1>vula<nr>
imvunulo	i<iv>m<n9>vunul<vr>o<in>
imzalele	i<i9>m<o1>zal<vr>el<xa>e<vps>
ina	i<i4>n<vr>a<va>, i<i9>n<vr>a<va>, i<p4>n<vr>a<va>, i<p9>n<vr>a<va>
inamashumi	i<i9>n<p>a<iv>ma<n6>shumi<nr>
incane	i<i9>ncane<ar>
inceku	i<iv>n<n9>ceku<nr>
incwadi	i<iv>n<n9>cwadi<nr>
indaba	i<iv>n<n9>daba<nr>
indangala	i<iv>n<n9>dangala<nr>
indawo	i<iv>n<n9>dawo<nr>
indebe	i<iv>n<n9>debe<nr>
indesheni	i<iv>n<n9>desheni<nr>
indima	i<iv>n<n9>dima<nr>
indishi	i<iv>n<n9>dishi<nr>
indiva	i<iv>n<n9>diva<nr>
indlamu	i<iv>n<n9>dlamu<nr>
indlela	i<iv>n<n9>dlela<nr>
indlovu	i<iv>n<n9>dlovu<nr>
indlovukazi	i<iv>n<n9>dlovu<nr>kazi<fem>
indlu	i<iv>n<n9>dlu<nr>
indoda	i<iv>n<n9>doda<nr>
indodakazi	i<iv>n<n9>doda<nr>kazi<fem>
indodana	i<iv>n<n9>dod<nr>ana<dim>
induku	i<iv_n9>nduku<nr>
induna	i<iv>n<n9>duna<nr>
indwangu	i<iv>n<n9>dwangu<nr>
inebele	i<i9>n<p>e<iv_n5>bele<nr>
inesithunzi	i<i4>n<p>e<iv>si<n7>thunzi<nr>, i<i9>n<p>e<iv>si<n7>thunzi<nr>, i<p4>n<p>e<iv>si<n7>thunzi<nr>, i<p9>n<p>e<iv>si<n7>thunzi<nr>
inetha	i<i4>neth<vr>a<va>, i<iv_n5>netha<nr>
inezesheli	i<i9>n<p>e<r>z<z10>e<iv_n5>sheli<nr>
ineziqalekiso	i<i4>n<p>e<iv>zi<n10>qal<vr>ek<xn>is<xc>o<in>
ingabe	i<s9>nga<asp>b<vr>e<vs>
ingafundwa	i<i9>nga<neg>fund<vr>w<xp>a<va>
ingafuni	i<s4>nga<neg>fun<vr>i<vg>, i<s9>nga<neg>fun<vr>i<vg>
ingakufuni	i<s4>nga<neg>ku<o15>fun<vr>i<vg>, i<s9>nga<neg>ku<o15>fun<vr>i<vg>
ingakukhathazi	i<s4>nga<neg>ku<o15>khathaz<vr>i<vg>, i<s4>nga<neg>ku<o2s>khathaz<vr>i<vg>
ingakwesikababa	i<i9>nga<p>kw<z15>e<r>sika<z7>baba<nr>
ingalibala	i<s9>nga<asp>libal<vr>a<va>
ingamanga	i<i9>ng<p>a<iv>ma<n6>nga<nr>
ingamashumi	i<iv>nga<p>ma<n6>shumi<nr>
inganda	i<iv>n<n9>ganda<nr>
ingane	i<iv>n<n9>gane<nr>
ingani	i<i9>nga<p>ni<int>
ingasaphili	i<p9>nga<neg>sa<asp>phil<vr>i<vg>
ingase	i<iv>n<n9>gase<nr>
ingasekho	i<p9>nga<neg>se<asp>kho<adv>
ingasese	i<p9>nga<neg>se<asp>se<mr>
ingashiywa	i<i4>nga<neg>shiy<vr>w<xp>a<va>, i<i9>nga<neg>shiy<vr>w<xp>a<va>
ingasho	i<s9>nga<asp>sho<vr>
ingasisiza	i<p9>nga<neg>si<o1p>siz<vr>a<va>
ingathi	i<s9>nga<asp>thi<vr>
ingatholwa	i<i9>nga<asp>thol<vr>w<xp>a<va>
ingazi	i<p9>ng<neg>azi<vr>
ingcuphe	i<iv>n<n9>gcuphe<nr>
ingekho	i<p9>ng<neg>ekho<adv>
ingemukelwanga	i<s9>ng<asp>emukel<vr>w<xp>anga<vpg>
ingena	i<i4>ngen<vr>a<va>, i<i9>ngen<vr>a<va>, i<p4>ngen<vr>a<va>, i<p9>ngen<vr>a<va>
ingenelwe	i<i4>ngen<vr>el<xa>w<xp>e<vps>, i<i9>ngen<vr>el<xa>w<xp>e<vps>
ingibangile	i<i4>ngi<o1s>bang<vr>ile<vpl>
ingonyama	i<iv>n<n9>go<nr>nyama<nr>
ingozi	i<iv>n<n9>gozi<nr>
ingqobe	i<iv>n<n9>gqobe<nr>
ingqondo	i<iv>n<n9>gqond<vr>o<in>
ingubo	i<iv>n<n9>gubo<nr>
ingwadla	i<iv>n<n9>gwadla<nr>
ingxenye	i<iv>n<n9>gxenye<nr>
ingxoxo	i<iv>n<n9>gxox<vr>o<in>
inhlamba	i<iv>n<n9>hlamba<nr>
inhlansi	i<iv>n<n9>hlansi<nr>
inhlinini	i<iv>n<n9>hlinini<nr>
inhliziyo	i<iv>n<n9>hliziyo<nr>
inhloko	i<iv>n<n9>hloko<nr>
inhloli	i<iv>n<n9>hlol<vr>i<hum>
inhlwathi	i<iv>n<n9>hlwathi<nr>
ini	i<st>ni<int>
iningi	i<i9>ningi<ar>
inja	i<iv>n<n9>ja<nr>
injani	i<i9>njani<ar>
injobo	i<iv>n<n9>jobo<nr>
inkabi	i<iv>n<n9>kabi<nr>
inkale	i<iv>n<n9>kale<nr>
inkani	i<iv>n<n9>kani<nr>
inkatha	i<iv>n<n9>katha<nr>
inkentshane	i<iv>n<n9>kentshane<nr>
inkinsela	i<iv>n<n9>kinsela<nr>
inkomana	i<iv>n<n9>kom<nr>ana<dim>
inkomo	i<iv>n<n9>komo<nr>
inkosi	i<iv>n<n9>kosi<nr>
inkosikazi	i<iv>n<n9>kosi<nr>kazi<fem>
inkulu	i<i9>n<n9>kulu<ar>
inkulumo	i<iv>n<n9>kulum<vr>o<in>
inkungu	i<iv>n<n9>kungu<nr>
inkunzi	i<iv>n<n9>kunzi<nr>
inomkhuba	i<iv_n5>n<p>o<iv>m<n3>khuba<nr>
inqawe	i<iv>n<n9>qawe<nr>
inqola	i<iv>n<n9>qola<nr>
inqume	i<p4>nqum<vr>e<vps>
inselo	i<iv>n<n9>sel<vr>o<in>
insika	i<iv>n<n9>sika<nr>
insimbi	i<iv>n<n9>simbi<nr>
insini	i<iv>n<n9>sini<nr>
insizwa	i<iv>n<n9>sizwa<nr>
insumansumane	i<iv>n<n9>sumansumane<nr>
intaka	i<iv>n<n9>taka<nr>
intaki	i<iv>n<n9>taki<nr>
intando	i<iv>n<n9>tand<vr>o<in>
intekentekana	i<iv>n<n9>tekentek<nr>ana<dim>
inti	i<iv>n<n9>ti<nr>
into	i<iv>n<n9>to<nr>
intokazi	i<iv>n<n9>to<nr>kazi<fem>
intombazane	i<iv>n<n9>tomb<nr>az<fem>ane<dim>
